Driver,DriverNumber,LapTime,LapNumber,Stint,Compound,TyreLife,Team,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year,GrandPrix
LEC,16,98.477,15.0,2.0,HARD,2.0,Ferrari,27.1,21.0,1016.9,False,30.5,187,0.6,2023,Bahrain Grand Prix
LEC,16,97.953,16.0,2.0,HARD,3.0,Ferrari,27.0,21.0,1017.0,False,30.5,179,0.6,2023,Bahrain Grand Prix
LEC,16,98.031,17.0,2.0,HARD,4.0,Ferrari,27.0,20.0,1017.0,False,30.3,214,0.6,2023,Bahrain Grand Prix
LEC,16,97.798,18.0,2.0,HARD,5.0,Ferrari,27.0,21.0,1017.0,False,30.3,197,0.6,2023,Bahrain Grand Prix
LEC,16,97.858,19.0,2.0,HARD,6.0,Ferrari,26.9,21.0,1017.0,False,30.3,212,0.4,2023,Bahrain Grand Prix
LEC,16,97.631,20.0,2.0,HARD,7.0,Ferrari,26.9,21.0,1017.0,False,30.2,240,0.6,2023,Bahrain Grand Prix
LEC,16,97.753,21.0,2.0,HARD,8.0,Ferrari,26.9,21.0,1017.0,False,30.1,182,0.6,2023,Bahrain Grand Prix
LEC,16,98.162,22.0,2.0,HARD,9.0,Ferrari,26.8,21.0,1017.0,False,30.1,229,0.5,2023,Bahrain Grand Prix
LEC,16,98.054,23.0,2.0,HARD,10.0,Ferrari,26.7,21.0,1017.0,False,30.0,241,0.5,2023,Bahrain Grand Prix
LEC,16,97.972,24.0,2.0,HARD,11.0,Ferrari,26.7,21.0,1017.0,False,29.9,199,0.8,2023,Bahrain Grand Prix
LEC,16,98.541,25.0,2.0,HARD,12.0,Ferrari,26.7,21.0,1017.0,False,29.9,183,0.6,2023,Bahrain Grand Prix
LEC,16,99.668,26.0,2.0,HARD,13.0,Ferrari,26.7,21.0,1017.0,False,29.9,195,0.5,2023,Bahrain Grand Prix
LEC,16,98.814,27.0,2.0,HARD,14.0,Ferrari,26.7,21.0,1017.0,False,29.9,186,0.6,2023,Bahrain Grand Prix
LEC,16,98.618,28.0,2.0,HARD,15.0,Ferrari,26.8,21.0,1017.0,False,29.9,190,0.5,2023,Bahrain Grand Prix
LEC,16,98.447,29.0,2.0,HARD,16.0,Ferrari,26.7,21.0,1017.0,False,29.9,194,0.6,2023,Bahrain Grand Prix
LEC,16,98.39,30.0,2.0,HARD,17.0,Ferrari,26.6,21.0,1017.0,False,29.7,193,0.6,2023,Bahrain Grand Prix
LEC,16,98.746,31.0,2.0,HARD,18.0,Ferrari,26.7,21.0,1017.0,False,29.7,228,0.6,2023,Bahrain Grand Prix
